Année;Trimestre;Dernier jour du mois;Durée de contrat;Nature de contrat;DPAE (brut);DPAE (cvs)
2008;1;2008-01-31;Contrat de plus d'un mois;CDI;361858;288409
2008;1;2008-03-31;Contrat de plus d'un mois;CDD de plus d'un mois;263235;333765
2008;2;2008-04-30;Contrat de plus d'un mois;CDI;280131;272999
2008;3;2008-08-31;Contrat de plus d'un mois;CDD de plus d'un mois;195711;297060
2008;3;2008-08-31;Contrat de plus d'un mois;CDI;201884;284747
2008;3;2008-09-30;Contrat de plus d'un mois;CDD de plus d'un mois;549540;327700
2008;3;2008-09-30;Contrat de plus d'un mois;CDI;438300;291952
2008;4;2008-10-31;Contrat de plus d'un mois;CDI;341765;277285
2008;4;2008-12-31;Contrat de plus d'un mois;CDD de plus d'un mois;217654;296353
2008;4;2008-12-31;Contrat de plus d'un mois;CDI;194785;241846
2009;2;2009-05-31;Contrat de plus d'un mois;CDD de plus d'un mois;250460;297714
2009;2;2009-05-31;Contrat de plus d'un mois;CDI;189198;216693
2009;2;2009-06-30;Contrat de plus d'un mois;CDD de plus d'un mois;393456;318600
2009;3;2009-07-31;Contrat de plus d'un mois;CDI;206274;230077
2009;3;2009-09-30;Contrat de plus d'un mois;CDD de plus d'un mois;525927;312895
2009;4;2009-11-30;Contrat de plus d'un mois;CDI;237212;240297
2009;4;2009-12-31;Contrat de plus d'un mois;CDD de plus d'un mois;230542;325328
2010;1;2010-01-31;Contrat de plus d'un mois;CDD de plus d'un mois;275625;314020
2010;1;2010-01-31;Contrat de plus d'un mois;CDI;294793;239750
2010;1;2010-02-28;Contrat de plus d'un mois;CDD de plus d'un mois;194579;317586
2010;1;2010-02-28;Contrat de plus d'un mois;CDI;214423;243494
2010;3;2010-08-31;Contrat de plus d'un mois;CDD de plus d'un mois;236988;332528
2010;3;2010-09-30;Contrat de plus d'un mois;CDD de plus d'un mois;546768;328229
2010;4;2010-10-31;Contrat de plus d'un mois;CDD de plus d'un mois;334420;330122
2010;4;2010-11-30;Contrat de plus d'un mois;CDD de plus d'un mois;285685;333741
2011;1;2011-02-28;Contrat de plus d'un mois;CDI;245619;280788
2011;2;2011-04-30;Contrat de plus d'un mois;CDD de plus d'un mois;315646;351463
2011;2;2011-05-31;Contrat de plus d'un mois;CDD de plus d'un mois;315986;347652
2011;2;2011-05-31;Contrat de plus d'un mois;CDI;269501;291148
2011;2;2011-06-30;Contrat de plus d'un mois;CDI;254984;284969
2011;3;2011-09-30;Contrat de plus d'un mois;CDD de plus d'un mois;580507;344665
2011;3;2011-09-30;Contrat de plus d'un mois;CDI;434065;291338
2011;4;2011-10-31;Contrat de plus d'un mois;CDD de plus d'un mois;347562;338817
2012;1;2012-02-29;Contrat de plus d'un mois;CDD de plus d'un mois;208660;323914
2012;1;2012-03-31;Contrat de plus d'un mois;CDI;260880;275643
